User,Username,UTC Date,Tweet,Binders,Permalink,Retweet count,Likes count,Tweet value
Areej,@Areej2269,2023-01-19 07:26:13,@ColorsTV @BeingSalmanKhan @Chingssecret @soundarya_20 @BhanotShalin Sahi ja rahy ho according to script to show people that she has been targeted and to get sympathy for her...,,https://www.twitter.com/user/status/1615973890622197760,0,1,0.12
Priyanka Uppar,@priyanka_uppar,2023-01-19 07:26:11,"RT @priyanka_uppar: Abandoned Kashmiri Hindus !

Not only Kashmiri Hindus, but Hindus  who came in search of work from other States have also been targeted 

Destroy #Pakistan to eliminate jihadi #terrorism in Kashmir

#Editorial
https://t.co/71u080h7P1.…

#StopKPGenocide #Justice_4_KashmiriHindus https://t.co/CVoOqly5ld",,https://www.twitter.com/user/status/1615973880447000577,0,0,0.02
Kevin Hicks,@AntaresForPrezy,2023-01-19 07:26:01,@Telegraph When someone as would would another be targeted think of this.,,https://www.twitter.com/user/status/1615973838474321925,0,0,0.02
Priyanka Uppar,@priyanka_uppar,2023-01-19 07:26:00,"Abandoned Kashmiri Hindus !

Not only Kashmiri Hindus, but Hindus  who came in search of work from other States have also been targeted 

Destroy #Pakistan to eliminate jihadi #terrorism in Kashmir

#Editorial
https://t.co/71u080h7P1.…

#StopKPGenocide #Justice_4_KashmiriHindus https://t.co/CVoOqly5ld",,https://www.twitter.com/user/status/1615973837363118080,4,3,0.05
I am Edel,@adelifish,2023-01-19 07:25:57,"@shinystarseven @zubbycat @sshadowlands Signs mostly point to ""it's not targeted, rather a bug that shows up quicker and more prevalently for us because of our size and activity""

ARMY is rly extra in everything we do. Algorithms will notice us 1st
(But we know what Namjun said about algorithms)
https://t.co/zKFsVcE6tA",,https://www.twitter.com/user/status/1615973823777755137,0,1,0.49
Daniel⁷,@mingIossx,2023-01-19 07:25:45,does this mean that using a language that doesn't have romanized characters is also breaking the rules? bc indian and japanese accounts were also targeted https://t.co/Osxv7qbnVP,,https://www.twitter.com/user/status/1615973771332014082,1,1,0.08
Mohit Kumar,@MohitKu07108727,2023-01-19 07:25:10,RT @ready_to_work10: They are constantly cutting promos on either Nimmo or Pcc . People constantly talk shit abt #ShivThakare but they have never shown that in promo or even in episodes but they are showing how targeted both their bahus are 😑👎,,https://www.twitter.com/user/status/1615973625215221760,0,0,0.09
Enya,@EnyaInTheWorld,2023-01-19 07:25:07,"@WilliamatSmith @JeremyVineOn5 Virginia Giufre only went after him many years later. She targeted him only. None if her other wealthy clients.  Again, she had been an adult,  of legal age when they met.

He said. She said.",,https://www.twitter.com/user/status/1615973611688562689,0,0,0.09
Enya,@EnyaInTheWorld,2023-01-19 07:24:54,"@WilliamatSmith @JeremyVineOn5 Andrew was a naive simpleton who knowingly had his photo taken at a house party w/ Virginia Giufre, who was of legal age when she,  Maxwell &amp; Epstein targeted him. He knowingly had his photo taken with her: not the behavior of a man who thinks he's with a prostitute.",,https://www.twitter.com/user/status/1615973557116506112,0,0,0.09
Chiga,@vena_dgirl,2023-01-19 07:24:50,RT @_realkingsley: International media helping to track fake news targeted at Peter Gregory Obi by opposition which Nigerians should know. All eyes are on you APC and PDP and co. https://t.co/aTyYQot9jD,,https://www.twitter.com/user/status/1615973541098274817,0,0,0.9
Novus Comms,@NovusComms,2023-01-19 07:24:45,"RT @Brand_UK: #TM1 @TechMinerals -  Exploration Update on the Leinster Project 

-A total of 56 rock samples are reported, all of which were analysed at ALS #Laboratories in Ireland

-The ongoing work is helping to refine specific areas for targeted #drilling

Read-https://t.co/kul2y1SG22 https://t.co/rmODeEdmID",,https://www.twitter.com/user/status/1615973523456925701,0,0,0.83
𝔸ηυ,@086Anamika,2023-01-19 07:24:40,"RT @PurpleKookie20: @ColorsTV @BeingSalmanKhan @Chingssecret @soundarya_20 @BhanotShalin You can show her being targeted narrative all you want but the truth is the strongest and most secure contestant in the house not interested to target her…so this narrative everyone targets her fails already 

#ShivThakare 
#BiggBoss16",,https://www.twitter.com/user/status/1615973500841521155,0,0,1.85
Brand Communications,@BrandMultiComms,2023-01-19 07:24:37,"RT @Brand_UK: #TM1 @TechMinerals -  Exploration Update on the Leinster Project 

-A total of 56 rock samples are reported, all of which were analysed at ALS #Laboratories in Ireland

-The ongoing work is helping to refine specific areas for targeted #drilling

Read-https://t.co/kul2y1SG22 https://t.co/rmODeEdmID",,https://www.twitter.com/user/status/1615973486115028998,0,0,2.28
Mr Lanre,@Ogbeni_Kotler,2023-01-19 07:24:35,RT @_realkingsley: International media helping to track fake news targeted at Peter Gregory Obi by opposition which Nigerians should know. All eyes are on you APC and PDP and co. https://t.co/aTyYQot9jD,,https://www.twitter.com/user/status/1615973477395070976,0,0,3.16
Adaba02 🕊 🦅,@bamilosinjay,2023-01-19 07:24:18,RT @_realkingsley: International media helping to track fake news targeted at Peter Gregory Obi by opposition which Nigerians should know. All eyes are on you APC and PDP and co. https://t.co/aTyYQot9jD,,https://www.twitter.com/user/status/1615973408470171650,0,0,1.29
Jborrego,@jborrego,2023-01-19 07:24:12,RT @markets: Toyota’s Prius hybrids are being targeted by thieves in Japan for components containing scarce metals that jumped in value following Russia’s invasion of Ukraine https://t.co/syw7LVqVJm,,https://www.twitter.com/user/status/1615973381093859328,0,0,1.75
Kim Hyun Sook,@BannedBookClubs,2023-01-19 07:24:11,"@ploudo @StephenKing ""It's communist"" was the go-to catch-all phrase book banners used in 1980s Korea to justify fascism. ""It's pornography"" is just your version of the same. Some of the same books being targeted.",,https://www.twitter.com/user/status/1615973379382841345,0,7,1.05
srutip4786,@srutip4786,2023-01-19 07:24:06,"RT @PurpleKookie20: @ColorsTV @BeingSalmanKhan @Chingssecret @soundarya_20 @BhanotShalin You can show her being targeted narrative all you want but the truth is the strongest and most secure contestant in the house not interested to target her…so this narrative everyone targets her fails already 

#ShivThakare 
#BiggBoss16",,https://www.twitter.com/user/status/1615973356645367808,0,0,0.1
gravitaz,@piemannh,2023-01-19 07:24:05,RT @_realkingsley: International media helping to track fake news targeted at Peter Gregory Obi by opposition which Nigerians should know. All eyes are on you APC and PDP and co. https://t.co/aTyYQot9jD,,https://www.twitter.com/user/status/1615973355504418816,0,0,0.01
Priyanka Uppar,@priyanka_uppar,2023-01-19 07:23:24,"RT @MeghaH70615676: Abandoned Kashmiri Hindus !

Not only Kashmiri Hindus, but Hindus  who came in search of work from other States have also been targeted 

Destroy #Pakistan to eliminate jihadi #terrorism in Kashmir

#Editorial
https://t.co/m8XSrzraWQ.…

#StopKPGenocide #Justice_4_KashmiriHindus https://t.co/trbDrcL6V7",,https://www.twitter.com/user/status/1615973180983873539,0,0,0.02
St Tony of Wuhan Didn’t Get Sadie AND Oscar Bites,@SadieAndOscar,2023-01-19 07:23:19,"RT @johnhawkinsrwn: @StephenKing It's mostly gay porn targeted at an audience of 7-year-olds, so I think most sane people will get why it doesn't belong in a school if they take your advice.",,https://www.twitter.com/user/status/1615973159450058752,0,0,0.92
Kanti varma Don't DM,@KaantiD,2023-01-19 07:23:05,"RT @SanatanPrabhat: Abandoned Kashmiri Hindus !

Not only Kashmiri Hindus, but Hindus  who came in search of work from other States have also been targeted 

Destroy #Pakistan to eliminate jihadi #terrorism in Kashmir

#Editorial
https://t.co/2vYYGETqoj

#StopKPGenocide #Justice_4_KashmiriHindus https://t.co/9cPaT3x26E",,https://www.twitter.com/user/status/1615973102537838594,0,0,1.65
MKultraX,@flickanhui1,2023-01-19 07:22:57,Meet the Targeted Individual Community https://t.co/HZAmvPvy4g 来自 @YouTube,,https://www.twitter.com/user/status/1615973068941438976,0,0,0.13
Mark Jhorr,@mnztr1,2023-01-19 07:22:52,"@chigrl Maybe they just need to leave the cables live lol. CATs are still being targeted, that never stopped.",,https://www.twitter.com/user/status/1615973047193812992,0,0,0.02
🐚,@mxvov1,2023-01-19 07:22:51,The investors targeted these two sisters as one of them was battling a terminal illness which caused them to fall into financial difficulties.  They have used this to their advantage although they still have 50/50 ownership. Disgusting.,,https://www.twitter.com/user/status/1615973042970132480,85,256,0.04
William Gibson,@GreatDismal,2023-01-19 07:22:46,RT @markets: Toyota’s Prius hybrids are being targeted by thieves in Japan for components containing scarce metals that jumped in value following Russia’s invasion of Ukraine https://t.co/syw7LVqVJm,,https://www.twitter.com/user/status/1615973020534968322,0,0,323.78
Ajide omo Ajide,@am_EazyBoss,2023-01-19 07:22:41,RT @_realkingsley: International media helping to track fake news targeted at Peter Gregory Obi by opposition which Nigerians should know. All eyes are on you APC and PDP and co. https://t.co/aTyYQot9jD,,https://www.twitter.com/user/status/1615973002939621376,0,0,0.14
Chief Begging Officer,@BeggingHuman,2023-01-19 07:22:33,"RT @FatimaDar_jk: Thought is a considerable change in Kashmir! Muslims silent then, are now feeling the void &amp; seeking dignified return of #KashmiriPandit brethren.

Meanwhile the targeted killings yet continue is a sign that still we are lacking as a society and giving leverage to sponsored guns! https://t.co/PrVogdFNR7",,https://www.twitter.com/user/status/1615972967602880513,0,0,0.22
Kimnang,@Kimnang_seng,2023-01-19 07:22:20,@michael____alan Did you know this prior to developing in Portland and targeted it for this reason or were these some of the things you acquired as you went along?,,https://www.twitter.com/user/status/1615972913026600961,0,0,0.06
SalmaniacMsdian,@SalmaniacMsdian,2023-01-19 07:22:07,"RT @AllAboutITV: So the captions game is going on:

1. PCC getting targeted by HMs, but in reality only PCC V/S Nimrit catfish is going on.

2. Nimirit feels betrayed by ""mandali"" in an activity where she wasn't even an option to choose from.

Way to go @ColorsTV @BiggBoss.

#BiggBoss16 #BB16",,https://www.twitter.com/user/status/1615972860203499522,0,0,1.34
MLSA,@mlsaturkey,2023-01-19 07:22:02,"On 19 January 2007, Agos Daily's editor-in-chief #HrantDink was assassinated after he was systematically targeted.

Those responsible are still awarded with impunity.

We remember Hrant with respect, gratitude and love and reiterate our demand: #JusticeForHrant. https://t.co/7MwGCzl47z",,https://www.twitter.com/user/status/1615972835868004352,19,29,40.01
t☆rgeted individual,@v2kdevice,2023-01-19 07:22:01,"NOW IMAGINE AN ​​ORDINARY HUMAN BEING PUT DOWN WITH ALL THIS SHIT AND HAVING TO SURVIVE, THESE ARE THE TARGETED INDIVIDUALS https://t.co/kTTLj7AhKE",,https://www.twitter.com/user/status/1615972833984757761,2,1,1.14
David Camarena/Дэвид Камарена,@David2095_Sport,2023-01-19 07:22:00,"RT @theaseanball: 🇲🇾 Malaysia is planning to revive the Merdeka Cup after 10 years (the last tournament was held in 2013).

The tournament is scheduled to be held in September this year

The countries targeted by FAM to send invitations : Vietnam 🇻🇳, Thailand 🇹🇭, Syria 🇸🇾 or Palestine 🇵🇸.

#FAM https://t.co/m9Kpw7iY4D",,https://www.twitter.com/user/status/1615972829425696768,0,0,2.38
Butterfly,@Butterfly_____8,2023-01-19 07:21:49,@pathak_the_merc He's vocal . Enough reason to be targeted. Looks weird to me though🙊,,https://www.twitter.com/user/status/1615972784697675783,0,1,0.02
Urchman,@Ikehuchenna6,2023-01-19 07:21:44,RT @_realkingsley: International media helping to track fake news targeted at Peter Gregory Obi by opposition which Nigerians should know. All eyes are on you APC and PDP and co. https://t.co/aTyYQot9jD,,https://www.twitter.com/user/status/1615972762505601024,0,0,0.1
HerMANNEN,@hermannen_,2023-01-19 07:21:36,@BeaBunny94 Garanterat targeted adds baserat på geografisk plats,,https://www.twitter.com/user/status/1615972728976322562,0,0,0.16
PeterObiourPresident,@Alonewolfbites,2023-01-19 07:21:33,RT @_realkingsley: International media helping to track fake news targeted at Peter Gregory Obi by opposition which Nigerians should know. All eyes are on you APC and PDP and co. https://t.co/aTyYQot9jD,,https://www.twitter.com/user/status/1615972714480631808,0,0,0.1
sayali• SSS • 💫✨⭐🌟,@SidNaaz1321,2023-01-19 07:21:28,"RT @PurpleKookie20: @ColorsTV @BeingSalmanKhan @Chingssecret @soundarya_20 @BhanotShalin You can show her being targeted narrative all you want but the truth is the strongest and most secure contestant in the house not interested to target her…so this narrative everyone targets her fails already 

#ShivThakare 
#BiggBoss16",,https://www.twitter.com/user/status/1615972695254130689,0,0,0.15
Malay Mail,@malaymail,2023-01-19 07:21:03,Nik Nazmi: Transition to targeted subsidy for electricity users no longer an option https://t.co/reKmshY6Lb,,https://www.twitter.com/user/status/1615972588521672707,0,0,765.31
tg fano💚💛❤️አፄዎቹ 🇪🇹,@tg24760604,2023-01-19 07:20:52,"RT @yebet_sira: The world can't sit idly by while the Amhara people are targeted &amp; killed simply because of their ethnicity. We call on leaders and the international community to take action &amp; protect this innocent community.
#AmharaGenocide  
@theweeknd @lemnsissay @Pontifex",,https://www.twitter.com/user/status/1615972542635823105,0,0,0.54
Aakanksha D Ghadge,@G_Aakanksha1,2023-01-19 07:20:42,"RT @SanatanPrabhat: Abandoned Kashmiri Hindus !

Not only Kashmiri Hindus, but Hindus  who came in search of work from other States have also been targeted 

Destroy #Pakistan to eliminate jihadi #terrorism in Kashmir

#Editorial
https://t.co/2vYYGETqoj

#StopKPGenocide #Justice_4_KashmiriHindus https://t.co/9cPaT3x26E",,https://www.twitter.com/user/status/1615972503628976133,0,0,0.18
ShivDewane,@AjitBho91236119,2023-01-19 07:20:41,RT @ready_to_work10: They are constantly cutting promos on either Nimmo or Pcc . People constantly talk shit abt #ShivThakare but they have never shown that in promo or even in episodes but they are showing how targeted both their bahus are 😑👎,,https://www.twitter.com/user/status/1615972497429786624,0,0,1.26
